103079215152,MEMBER,<empty>,<empty>,*valueToken,21,,<empty>,2312,valueToken,,,30,,simplecpp.Token*
103079215153,MEMBER,<empty>,<empty>,*endToken,21,,<empty>,2315,endToken,,,31,,simplecpp.Token*
103079215154,MEMBER,<empty>,<empty>,&files,34,,<empty>,2318,files,,,32,,std.vector<std.string>&
103079215155,MEMBER,<empty>,<empty>,tokenListDefine,19,,<empty>,2321,tokenListDefine,,,33,,simplecpp.TokenList
103079215156,MEMBER,<empty>,<empty>,usageList,37,,<empty>,2324,usageList,,,34,,std.list<Location>
103079215157,MEMBER,<empty>,<empty>,variadic,14,,<empty>,2327,variadic,,,35,,bool
103079215158,MEMBER,<empty>,<empty>,valueDefinedInCode_,14,,<empty>,2330,valueDefinedInCode_,,,36,,bool
103079215159,MEMBER,<empty>,<empty>,m_criticalSection,22,,<empty>,2395,m_criticalSection,,,4,,CRITICAL_SECTION
103079215160,MEMBER,<empty>,<empty>,& m_mutex,6,,<empty>,2414,m_mutex,,,3,,T&
103079215161,MEMBER,<empty>,<empty>,m_fileMap,40,,<empty>,2439,m_fileMap,,,4,,"std.map<std.string,std.string>"
103079215162,MEMBER,<empty>,<empty>,m_mutex,13,,<empty>,2440,m_mutex,,,5,,MyMutex
103079215163,MEMBER,<empty>,<empty>,m_pathSet,27,,<empty>,3076,m_pathSet,,,5,,std.set<std.string>
103079215164,MEMBER,<empty>,<empty>,m_mutex,13,,<empty>,3077,m_mutex,,,6,,MyMutex
103079215165,MEMBER,<empty>,<empty>,* pattern,15,,<empty>,142,pattern,,,1,,char*
103079215166,MEMBER,<empty>,<empty>,length,9,,<empty>,143,length,,,2,,int
103079215167,MEMBER,<empty>,<empty>,value,10,,<empty>,144,value,,,3,,char
103079215168,MEMBER,<empty>,<empty>,*function,39,,<empty>,61,function,,,2,,CppcheckLibraryData.Function*
103079215169,MEMBER,<empty>,<empty>,mTitle,13,,<empty>,37,mTitle,,,1,,QString
103079215170,MEMBER,<empty>,<empty>,*mActMainWindow,13,,<empty>,39,mActMainWindow,,,3,,QAction*
103079215171,MEMBER,<empty>,<empty>,mName,13,,<empty>,40,mName,,,1,,QString
103079215172,MEMBER,<empty>,<empty>,mFilename,13,,<empty>,46,mFilename,,,2,,QString
103079215173,MEMBER,<empty>,<empty>,mCode,13,,<empty>,52,mCode,,,3,,QString
103079215174,MEMBER,<empty>,<empty>,ctu = false,10,,<empty>,32,ctu,,,6,,bool
103079215175,MEMBER,<empty>,<empty>,action,16,,<empty>,141,action,,,2,,Action
103079215176,MEMBER,<empty>,<empty>,terminate,19,,<empty>,142,terminate,,,3,,Terminate
103079215177,MEMBER,<empty>,<empty>,= 0,65,,<empty>,165,,,,9,,const
103079215178,MEMBER,<empty>,<empty>,= 0,74,,<empty>,179,,,,17,,const
103079215179,MEMBER,<empty>,<empty>,= 0,40,,<empty>,181,,,,20,,const
103079215180,MEMBER,<empty>,<empty>,= 0,62,,<empty>,183,,,,23,,const
103079215181,MEMBER,<empty>,<empty>,& library,22,,<empty>,3094,library,,,1,,Library&
103079215182,MEMBER,<empty>,<empty>,* evaluate,76,,<empty>,3095,evaluate,,,2,,std.function<std.vector<MathLib.bigint>(constToken*)>*
103079215183,MEMBER,<empty>,<empty>,* token,16,,<empty>,252,token,,,3,,Token*
103079215184,MEMBER,<empty>,<empty>,errors,15,,<empty>,253,errors,,,4,,ErrorPath
