94489280575,LOCAL,,std::string path,25,,<empty>,620,path,,,1,,std.string
94489280576,LOCAL,,const std::string lookup,31,,<empty>,652,lookup,,,1,,std.string
94489280577,LOCAL,,const std::string errmsg,31,,<empty>,683,errmsg,,,1,,std.string
94489280578,LOCAL,,const std::string enable_arg,31,,<empty>,698,enable_arg,,,1,,std.string
94489280579,LOCAL,,const std::string errmsg,31,,<empty>,699,errmsg,,,3,,std.string
94489280580,LOCAL,,const std::string type,31,,<empty>,745,type,,,1,,std.string
94489280581,LOCAL,,std::string filename,25,,<empty>,777,filename,,,1,,std.string
94489280582,LOCAL,,std::ifstream f,27,,<empty>,779,f,,,3,,std.ifstream
94489280583,LOCAL,,const std::string errmsg,31,,<empty>,784,errmsg,,,6,,std.string
94489280584,LOCAL,,const char *filter,25,,<empty>,793,filter,,,1,,char*
94489280585,LOCAL,,const std::string fileList,31,,<empty>,807,fileList,,,1,,std.string
94489280586,LOCAL,,std::string path,25,,<empty>,826,path,,,1,,std.string
94489280587,LOCAL,,const std::string includesFile,31,,<empty>,854,includesFile,,,1,,std.string
94489280588,LOCAL,,std::string numberString,25,,<empty>,871,numberString,,,1,,std.string
94489280589,LOCAL,,unsigned int tmp,26,,<empty>,888,tmp,,,3,,unsigned int
94489280590,LOCAL,,std::string err,25,,<empty>,889,err,,,4,,std.string
94489280591,LOCAL,,std::string str,25,,<empty>,944,str,,,1,,std.string
94489280592,LOCAL,,int tmp,17,,<empty>,980,tmp,,,1,,int
94489280593,LOCAL,,int temp,17,,<empty>,995,temp,,,1,,int
94489280594,LOCAL,,const std::string format,31,,<empty>,1030,format,,,1,,std.string
94489280595,LOCAL,,const std::string platform,31,,<empty>,1065,platform,,,1,,std.string
94489280596,LOCAL,,std::string errstr,25,,<empty>,1067,errstr,,,3,,std.string
94489280597,LOCAL,,const std::vector<std::string> paths,44,,<empty>,1068,paths,,,4,,std.vector<std.string>
94489280598,LOCAL,,std::string path,25,,<empty>,1085,path,,,1,,std.string
94489280599,LOCAL,,const std::string plistOutput,31,,<empty>,1089,plistOutput,,,4,,std.string
94489280600,LOCAL,,std::string message,29,,<empty>,1091,message,,,1,,std.string
94489280601,LOCAL,,const std::set<std::string> valid,41,,<empty>,1108,valid,,,1,,std.set<std.string>
94489280602,LOCAL,,const std::set<std::string> valid2,41,,<empty>,1122,valid2,,,3,,std.set<std.string>
94489280603,LOCAL,,const std::string p,31,,<empty>,1135,p,,,8,,std.string
94489280604,LOCAL,,const std::string p2,31,,<empty>,1136,p2,,,10,,std.string
94489280605,LOCAL,,std::string projectFile,25,,<empty>,1161,projectFile,,,3,,std.string
94489280606,LOCAL,,ImportProject::Type projType,33,,<empty>,1162,projType,,,5,,ImportProject.Type
94489280607,LOCAL,,const auto & excludedPaths,29,,<empty>,1168,excludedPaths,,,2,,ANY&
94489280608,LOCAL,,std::string platform,29,,<empty>,1171,platform,,,5,,std.string
94489280609,LOCAL,,std::string errstr,33,,<empty>,1175,errstr,,,1,,std.string
94489280610,LOCAL,,const std::vector<std::string> paths,52,,<empty>,1176,paths,,,2,,std.vector<std.string>
94489280611,LOCAL,,const auto & projectFileGui,29,,<empty>,1183,projectFileGui,,,8,,ANY&
94489280612,LOCAL,,std::string paths,29,,<empty>,1231,paths,,,1,,std.string
94489280613,LOCAL,,const std::string::size_type pos,50,,<empty>,1233,pos,,,1,,std.string.size_type
94489280614,LOCAL,,const std::string typeStr,31,,<empty>,1258,typeStr,,,1,,std.string
94489280615,LOCAL,,const std::string showtimeMode,31,,<empty>,1390,showtimeMode,,,1,,std.string
94489280616,LOCAL,,const std::string std,31,,<empty>,1419,std,,,1,,std.string
94489280617,LOCAL,,const std::string suppression,31,,<empty>,1427,suppression,,,1,,std.string
94489280618,LOCAL,,const std::string errmsg,31,,<empty>,1428,errmsg,,,3,,std.string
94489280619,LOCAL,,std::string filename,25,,<empty>,1437,filename,,,1,,std.string
94489280620,LOCAL,,std::ifstream f,27,,<empty>,1438,f,,,3,,std.ifstream
94489280621,LOCAL,,std::string message,29,,<empty>,1440,message,,,1,,std.string
94489280622,LOCAL,,const std::string errmsg,31,,<empty>,1455,errmsg,,,6,,std.string
94489280623,LOCAL,,const char * filename,26,,<empty>,1463,filename,,,1,,char*
94489280624,LOCAL,,const std::string errmsg,31,,<empty>,1464,errmsg,,,3,,std.string
94489280625,LOCAL,,int tmp,17,,<empty>,1531,tmp,,,1,,int
94489280626,LOCAL,,std::string message,25,,<empty>,1546,message,,,1,,std.string
94489280627,LOCAL,,bool isdir,14,,<empty>,1610,isdir,,,3,,bool
94489280628,LOCAL,,const std::string manualUrl,23,,<empty>,1649,manualUrl,,,1,,std.string
94489280629,LOCAL,,std::ostringstream oss,24,,<empty>,1653,oss,,,3,,std.ostringstream
94489280630,LOCAL,,const char * const extraVersion,24,,<empty>,2027,extraVersion,,,2,,char*
94489280631,LOCAL,,const Library::Error err,26,,<empty>,2041,err,,,1,,Library.Error
94489280632,LOCAL,,std::string msg,21,,<empty>,2046,msg,,,1,,std.string
94489280633,LOCAL,,<iterator>12,5,,<empty>,2105,<iterator>12,,,0,,std.iterator
94489280634,LOCAL,,lib,5,,<empty>,2105,lib,,,0,,ANY&
94489280635,LOCAL,,const std::string msg,27,,<empty>,2089,msg,,,1,,std.string
94489280636,LOCAL,,const std::string cfgfolder,27,,<empty>,2095,cfgfolder,,,3,,std.string
94489280637,LOCAL,,const std::string details,27,,<empty>,2096,details,,,5,,std.string
94489280638,LOCAL,,bool result,10,,<empty>,2104,result,,,2,,bool
94489280639,LOCAL,,<iterator>13,5,,<empty>,2116,<iterator>13,,,0,,std.iterator
94489280640,LOCAL,,addon,5,,<empty>,2116,addon,,,0,,std.string&
94489280641,LOCAL,,bool result,10,,<empty>,2115,result,,,1,,bool
94489280642,LOCAL,,AddonInfo addonInfo,19,,<empty>,2117,addonInfo,,,1,,AddonInfo
94489280643,LOCAL,,const std::string failedToGetAddonInfo,27,,<empty>,2118,failedToGetAddonInfo,,,2,,std.string
94489280644,LOCAL,,const std::string cfgErr,23,,<empty>,2133,cfgErr,,,2,,std.string
94489280645,LOCAL,,addon,5,,<empty>,2116,addon,,,0,,ANY
