171798691856,TYPE_DECL,,cli/cmdlineparser.cpp:<global>,TYPE_DECL,"CmdLineParser.parseFromArgs:CmdLineParser.Result(int,char[]*)",1,cli/cmdlineparser.cpp,"CmdLineParser.parseFromArgs:CmdLineParser.Result(int,char[]*)",<empty>,,false,376,parseFromArgs,,,1
171798691857,TYPE_DECL,,cli/cmdlineparser.cpp:<global>,TYPE_DECL,CmdLineParser.printHelp<const>:void(),1,cli/cmdlineparser.cpp,CmdLineParser.printHelp<const>:void(),<empty>,,false,1647,printHelp,,,1
171798691858,TYPE_DECL,,cli/cmdlineparser.cpp:<global>,TYPE_DECL,CmdLineParser.getVersion<const>:string(),1,cli/cmdlineparser.cpp,CmdLineParser.getVersion<const>:string(),<empty>,,false,2024,getVersion,,,1
171798691859,TYPE_DECL,,cli/cmdlineparser.cpp:<global>,TYPE_DECL,CmdLineParser.isCppcheckPremium<const>:bool(),1,cli/cmdlineparser.cpp,CmdLineParser.isCppcheckPremium<const>:bool(),<empty>,,false,2033,isCppcheckPremium,,,1
171798691860,TYPE_DECL,,cli/cmdlineparser.cpp:<global>,TYPE_DECL,"CmdLineParser.tryLoadLibrary:bool(Library&,std.string&,char*,bool)",1,cli/cmdlineparser.cpp,"CmdLineParser.tryLoadLibrary:bool(Library&,std.string&,char*,bool)",<empty>,,false,2039,tryLoadLibrary,,,1
171798691861,TYPE_DECL,,cli/cmdlineparser.cpp:<global>,TYPE_DECL,CmdLineParser.loadLibraries:bool(Settings&),1,cli/cmdlineparser.cpp,CmdLineParser.loadLibraries:bool(Settings&),<empty>,,false,2086,loadLibraries,,,1
171798691862,TYPE_DECL,,cli/cmdlineparser.cpp:<global>,TYPE_DECL,CmdLineParser.loadAddons:bool(Settings&),1,cli/cmdlineparser.cpp,CmdLineParser.loadAddons:bool(Settings&),<empty>,,false,2113,loadAddons,,,1
171798691863,TYPE_DECL,,cli/cmdlineparser.cpp:<global>,TYPE_DECL,CmdLineParser.loadCppcheckCfg:bool(),1,cli/cmdlineparser.cpp,CmdLineParser.loadCppcheckCfg:bool(),<empty>,,false,2129,loadCppcheckCfg,,,1
171798691864,TYPE_DECL,,cli/cmdlineparser.h:<global>,NAMESPACE_BLOCK,<global>,1,cli/cmdlineparser.h,cli/cmdlineparser.h:<global>,<empty>,,false,1,<global>,,,9
171798691865,TYPE_DECL,,,,struct Suppressions,1,cli/cmdlineparser.h,Suppressions,<empty>,,false,33,Suppressions,,,2
171798691866,TYPE_DECL,,,,"class SarifReport {
    public:
        void addFinding(ErrorMessage msg) {
            mFindings.push_back(std::move(msg));
        }

        picojson::array serializeRules() const {
            picojson::array ret;
            std::set<std::string> ruleIds;
            for (const auto& finding : mFindings) {
                // github only supports findings with locations
                if (finding.callStack.empty())
                    continue;
                if (ruleIds.insert(finding.id).second) {
                    picojson::object rule;
                    rule[""id""] = picojson::value(finding.id);
                    // rule.shortDescription.text
                    picojson::object shortDescription;
                    shortDescription[""text""] = picojson::value(finding.shortMessage());
                    rule[""shortDescription""] = picojson::value(shortDescription);
                    // rule.fullDescription.text
                    picojson::object fullDescription;
   ...",5,cli/cppcheckexecutor.cpp,SarifReport,<empty>,,false,81,SarifReport,,,1
171798691867,TYPE_DECL,,,,"class CmdLineLoggerStd : public CmdLineLogger
    {
    public:
        CmdLineLoggerStd() = default;

        void printMessage(const std::string &message) override
        {
            printRaw(""cppcheck: "" + message);
        }

        void printError(const std::string &message) override
        {
            printMessage(""error: "" + message);
        }

        void printRaw(const std::string &message) override
        {
            std::cout << message << std::endl; // TODO: should not append newline
        }
    }",5,cli/cppcheckexecutor.cpp,CmdLineLoggerStd,<empty>,CmdLineLogger,false,227,CmdLineLoggerStd,,,1
171798691868,TYPE_DECL,,,,"class StdLogger : public ErrorLogger
    {
    public:
        explicit StdLogger(const Settings& settings)
            : mSettings(settings)
            , mGuidelineMapping(createGuidelineMapping(settings.reportType))
        {
            if (!mSettings.outputFile.empty()) {
                mErrorOutput = new std::ofstream(settings.outputFile);
            }
        }

        ~StdLogger() override {
            if (mSettings.outputFormat == Settings::OutputFormat::sarif) {
                reportErr(mSarifReport.serialize(mSettings.cppcheckCfgProductName));
            }
            delete mErrorOutput;
        }

        StdLogger(const StdLogger&) = delete;
        StdLogger& operator=(const SingleExecutor &) = delete;

        void resetLatestProgressOutputTime() {
            mLatestProgressOutputTime = std::time(nullptr);
        }

        /**
         * Helper function to print out errors. Appends a line change.
         * @param errmsg String printed to error stream
      ...",5,cli/cppcheckexecutor.cpp,StdLogger,<empty>,ErrorLogger,false,248,StdLogger,,,1
171798691869,TYPE_DECL,,cli/cppcheckexecutor.cpp:<global>,TYPE_DECL,"CppCheckExecutor.check:int(int,char[]*)",1,cli/cppcheckexecutor.cpp,"CppCheckExecutor.check:int(int,char[]*)",<empty>,,false,355,check,,,1
171798691870,TYPE_DECL,,cli/cppcheckexecutor.cpp:<global>,TYPE_DECL,"CppCheckExecutor.check_wrapper:int(Settings&,Suppressions&)",1,cli/cppcheckexecutor.cpp,"CppCheckExecutor.check_wrapper:int(Settings&,Suppressions&)",<empty>,,false,380,check_wrapper,,,1
171798691871,TYPE_DECL,,cli/cppcheckexecutor.cpp:<global>,NAMESPACE_BLOCK,<global>,1,cli/cppcheckexecutor.cpp,cli/cppcheckexecutor.cpp:<global>,<empty>,,false,1,<global>,,,38
171798691872,TYPE_DECL,,cli/cppcheckexecutor.cpp:<global>,TYPE_DECL,cli/cppcheckexecutor.cpp:<global>.CppCheckExecutor.reportSuppressions.<lambda>0:bool(SuppressionList.Suppression&),49,cli/cppcheckexecutor.cpp,cli/cppcheckexecutor.cpp:<global>.CppCheckExecutor.reportSuppressions.<lambda>0:bool(SuppressionList.Suppression&),<empty>,std.function,false,395,<lambda>0,,,1
171798691873,TYPE_DECL,,cli/cppcheckexecutor.cpp:<global>,TYPE_DECL,"CppCheckExecutor.reportSuppressions:bool(Settings&,SuppressionList&,bool,std.list<FileWithDetails>&,std.list<FileSettings>&,ErrorLogger&)",1,cli/cppcheckexecutor.cpp,"CppCheckExecutor.reportSuppressions:bool(Settings&,SuppressionList&,bool,std.list<FileWithDetails>&,std.list<FileSettings>&,ErrorLogger&)",<empty>,,false,393,reportSuppressions,,,1
171798691874,TYPE_DECL,,cli/cppcheckexecutor.cpp:<global>,TYPE_DECL,"CppCheckExecutor.check_internal<const>:int(Settings&,Suppressions&)",1,cli/cppcheckexecutor.cpp,"CppCheckExecutor.check_internal<const>:int(Settings&,Suppressions&)",<empty>,,false,428,check_internal,,,1
171798691875,TYPE_DECL,,cli/cppcheckexecutor.cpp:<global>,TYPE_DECL,cli/cppcheckexecutor.cpp:<global>.StdLogger.writeCheckersReport.<lambda>1:bool(SuppressionList.Suppression&),92,cli/cppcheckexecutor.cpp,cli/cppcheckexecutor.cpp:<global>.StdLogger.writeCheckersReport.<lambda>1:bool(SuppressionList.Suppression&),<empty>,std.function,false,509,<lambda>1,,,1
171798691876,TYPE_DECL,,cli/cppcheckexecutor.cpp:<global>,TYPE_DECL,StdLogger.writeCheckersReport:void(Suppressions&),1,cli/cppcheckexecutor.cpp,StdLogger.writeCheckersReport:void(Suppressions&),<empty>,,false,497,writeCheckersReport,,,1
171798691877,TYPE_DECL,,cli/cppcheckexecutor.cpp:<global>,TYPE_DECL,"ansiToOEM:string(std.string&,bool)",1,cli/cppcheckexecutor.cpp,"ansiToOEM:string(std.string&,bool)",<empty>,,false,556,ansiToOEM,,,1
171798691878,TYPE_DECL,,cli/cppcheckexecutor.cpp:<global>,TYPE_DECL,StdLogger.reportErr:void(std.string&),1,cli/cppcheckexecutor.cpp,StdLogger.reportErr:void(std.string&),<empty>,,false,578,reportErr,,,1
