90194313302,LITERAL,2,,"""-U""",40,,518,,,2,,char[3]
90194313303,LITERAL,3,,2,46,,518,,,3,,int
90194313304,LITERAL,2,,0,52,,518,,,2,,int
90194313305,LITERAL,2,,"""-U""",38,,522,,,2,,char[3]
90194313306,LITERAL,2,,0,47,,522,,,2,,int
90194313307,LITERAL,2,,0,42,,524,,,2,,int
90194313308,LITERAL,2,,'-',48,,524,,,2,,char
90194313309,LITERAL,1,,"""argument to '-U' is missing.""",40,,525,,,2,,char[29]
90194313310,LITERAL,1,,2,25,,533,,,1,,int
90194313311,LITERAL,2,,"""--addon=""",40,,539,,,2,,char[9]
90194313312,LITERAL,3,,8,52,,539,,,3,,int
90194313313,LITERAL,2,,0,58,,539,,,2,,int
90194313314,LITERAL,2,,8,46,,540,,,2,,int
90194313315,LITERAL,2,,"""--addon-python=""",39,,542,,,2,,char[16]
90194313316,LITERAL,3,,15,58,,542,,,3,,int
90194313317,LITERAL,2,,0,65,,542,,,2,,int
90194313318,LITERAL,2,,15,50,,543,,,2,,int
90194313319,LITERAL,2,,"""--check-config""",39,,546,,,2,,char[15]
90194313320,LITERAL,2,,0,60,,546,,,2,,int
90194313321,LITERAL,2,,true,44,,547,,,2,,bool
90194313322,LITERAL,2,,"""--check-headers""",39,,549,,,2,,char[16]
90194313323,LITERAL,2,,0,61,,549,,,2,,int
90194313324,LITERAL,2,,true,38,,550,,,2,,bool
90194313325,LITERAL,2,,"""--check-level=""",40,,553,,,2,,char[15]
90194313326,LITERAL,3,,14,58,,553,,,3,,int
90194313327,LITERAL,2,,0,65,,553,,,2,,int
90194313328,LITERAL,2,,14,49,,555,,,2,,int
90194313329,LITERAL,2,,"""reduced""",28,,556,,,2,,char[8]
90194313330,LITERAL,2,,"""normal""",33,,558,,,2,,char[7]
90194313331,LITERAL,2,,"""exhaustive""",33,,560,,,2,,char[11]
90194313332,LITERAL,1,,"""unknown '--check-level' value '""",36,,563,,,1,,char[32]
90194313333,LITERAL,2,,"""'.""",82,,563,,,2,,char[3]
90194313334,LITERAL,2,,"""--check-library""",39,,571,,,2,,char[16]
90194313335,LITERAL,2,,0,61,,571,,,2,,int
90194313336,LITERAL,2,,true,38,,572,,,2,,bool
90194313337,LITERAL,2,,"""--check-unused-templates""",39,,575,,,2,,char[25]
90194313338,LITERAL,2,,0,70,,575,,,2,,int
90194313339,LITERAL,2,,true,46,,576,,,2,,bool
90194313340,LITERAL,2,,"""--check-version=""",40,,578,,,2,,char[17]
90194313341,LITERAL,3,,16,60,,578,,,3,,int
90194313342,LITERAL,2,,0,67,,578,,,2,,int
90194313343,LITERAL,2,,16,57,,582,,,2,,int
90194313344,LITERAL,1,,"""--check-version check failed. Aborting.""",36,,584,,,2,,char[40]
90194313345,LITERAL,2,,"""--checkers-report=""",40,,589,,,2,,char[19]
90194313346,LITERAL,3,,18,62,,589,,,3,,int
90194313347,LITERAL,2,,0,69,,589,,,2,,int
90194313348,LITERAL,2,,18,58,,590,,,2,,int
90194313349,LITERAL,2,,"""--checks-max-time=""",40,,592,,,2,,char[19]
90194313350,LITERAL,3,,18,62,,592,,,3,,int
90194313351,LITERAL,2,,0,69,,592,,,2,,int
90194313352,LITERAL,2,,18,42,,593,,,2,,int
90194313353,LITERAL,4,,true,71,,593,,,4,,bool
90194313354,LITERAL,2,,"""--clang""",39,,597,,,2,,char[8]
90194313355,LITERAL,2,,0,53,,597,,,2,,int
90194313356,LITERAL,2,,true,31,,598,,,2,,bool
90194313357,LITERAL,2,,"""--clang=""",40,,601,,,2,,char[9]
90194313358,LITERAL,3,,8,52,,601,,,3,,int
90194313359,LITERAL,2,,0,58,,601,,,2,,int
90194313360,LITERAL,2,,true,31,,602,,,2,,bool
90194313361,LITERAL,2,,8,51,,603,,,2,,int
90194313362,LITERAL,2,,"""--config-exclude=""",40,,606,,,2,,char[18]
90194313363,LITERAL,3,,17,60,,606,,,3,,int
90194313364,LITERAL,2,,0,66,,606,,,2,,int
90194313365,LITERAL,2,,17,86,,607,,,2,,int
90194313366,LITERAL,2,,"""--config-excludes-file=""",40,,610,,,2,,char[24]
90194313367,LITERAL,3,,23,67,,610,,,3,,int
90194313368,LITERAL,2,,0,74,,610,,,2,,int
90194313369,LITERAL,1,,23,47,,612,,,1,,int
90194313370,LITERAL,1,,"""unable to open config excludes file at '""",36,,614,,,1,,char[41]
90194313371,LITERAL,2,,"""'""",99,,614,,,2,,char[2]
90194313372,LITERAL,2,,"""--cppcheck-build-dir=""",40,,619,,,2,,char[22]
90194313373,LITERAL,3,,21,65,,619,,,3,,int
90194313374,LITERAL,2,,0,72,,619,,,2,,int
90194313375,LITERAL,2,,21,69,,620,,,2,,int
90194313376,LITERAL,1,,"""no path has been specified for --cppcheck-build-dir""",36,,622,,,2,,char[52]
90194313377,LITERAL,2,,'/',32,,625,,,2,,char
90194313378,LITERAL,2,,"""--cpp-header-probe""",39,,630,,,2,,char[19]
90194313379,LITERAL,2,,0,64,,630,,,2,,int
90194313380,LITERAL,2,,true,40,,631,,,2,,bool
90194313381,LITERAL,2,,"""--debug-clang-output""",39,,635,,,2,,char[21]
90194313382,LITERAL,2,,0,66,,635,,,2,,int
